"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Track and Field","Men's 800 metres","2016-01-01",3284,72,NULL,NULL,NULL
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",3310,63,NULL,NULL,NULL
"Track and Field","Men's High Jump","2016-01-01",3316,113,NULL,NULL,NULL
"Track and Field","Women's High Jump","2016-01-01",3326,134,NULL,NULL,NULL
"Track and Field","Men's Javelin Throw","2016-01-01",3340,178,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",3352,68,NULL,NULL,NULL
"Track and Field","Women's 4 x 400 metres Relay","2016-01-01",3411,14,NULL,NULL,NULL
"Track and Field","Men's 800 metres","2016-01-01",3512,25,NULL,NULL,NULL
"Track and Field","Men's 1,500 metres","2016-01-01",3515,150,NULL,NULL,NULL
"Track and Field","Men's Javelin Throw","2016-01-01",3527,72,NULL,NULL,NULL
"Track and Field","Women's 200 metres","2016-01-01",3528,72,NULL,NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",3528,72,NULL,NULL,NULL
"Track and Field","Women's 100 metres Hurdles","2016-01-01",3560,134,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Butterfly","2016-01-01",3596,171,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Butterfly","2016-01-01",3596,171,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",3600,171,NULL,NULL,NULL
"Track and Field","Women's 400 metres Hurdles","2016-01-01",3616,67,NULL,NULL,NULL
"Track and Field","Women's 4 x 400 metres Relay","2016-01-01",3616,67,NULL,NULL,NULL
"Track and Field","Women's Discus Throw","2016-01-01",3620,74,NULL,NULL,NULL
"Track and Field","Men's Hammer Throw","2016-01-01",3640,74,NULL,NULL,NULL
"Swimming","Swimming Women's 10 kilometres Open Water","2016-01-01",3820,195,NULL,NULL,NULL
"Track and Field","Men's 400 metres Hurdles","2016-01-01",4041,35,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Individual All-Around","2016-01-01",4048,26,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Team All-Around","2016-01-01",4048,26,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Floor Exercise","2016-01-01",4048,26,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",4048,26,NULL,NULL,NULL
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",4048,26,NULL,NULL,NULL
"Track and Field","Women's Javelin Throw","2016-01-01",4054,67,NULL,NULL,NULL
"Track and Field","Men's 1,500 metres","2016-01-01",4070,26,NULL,NULL,NULL
"Track and Field","Women's Javelin Throw","2016-01-01",4104,146,NULL,NULL,NULL
"Track and Field","Women's 10,000 metres","2016-01-01",4155,73,NULL,NULL,NULL
"Track and Field","Men's 1,500 metres","2016-01-01",4159,195,NULL,NULL,NULL
"Track and Field","Men's Decathlon","2016-01-01",4171,198,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Breaststroke","2016-01-01",4181,152,NULL,NULL,NULL
"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","2016-01-01",4183,152,NULL,NULL,NULL
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",4183,152,NULL,NULL,NULL
"Swimming","Swimming Women's 200 metres Individual Medley","2016-01-01",4183,152,NULL,NULL,NULL
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",4233,152,NULL,NULL,NULL
"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","2016-01-01",4233,152,NULL,NULL,NULL
"Track and Field","Men's 800 metres","2016-01-01",4247,173,NULL,NULL,NULL
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",4248,56,NULL,NULL,NULL
"Track and Field","Women's High Jump","2016-01-01",4310,136,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Freestyle","2016-01-01",4379,150,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Butterfly","2016-01-01",4379,150,NULL,NULL,NULL
"Track and Field","Women's 400 metres Hurdles","2016-01-01",4407,146,NULL,NULL,NULL
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",4420,67,NULL,NULL,NULL
"Track and Field","Women's Discus Throw","2016-01-01",4523,86,NULL,NULL,NULL
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",4654,94,NULL,NULL,NULL
"Track and Field","Men's 5,000 metres","2016-01-01",4662,15,NULL,NULL,NULL
"Track and Field","Men's Hammer Throw","2016-01-01",4674,189,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",4745,170,NULL,NULL,NULL
"Track and Field","Women's 10,000 metres","2016-01-01",4747,97,NULL,NULL,NULL
"Track and Field","Women's 800 metres","2016-01-01",4776,125,NULL,NULL,NULL
"Track and Field","Women's 1,500 metres","2016-01-01",4776,125,NULL,NULL,NULL
"Track and Field","Men's 50 kilometres Walk","2016-01-01",4782,94,"1",NULL,NULL
"Track and Field","Men's Javelin Throw","2016-01-01",4787,94,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Butterfly","2016-01-01",4809,149,NULL,NULL,NULL
"Swimming","Swimming Women's 10 kilometres Open Water","2016-01-01",4844,74,NULL,NULL,NULL
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",4848,192,NULL,NULL,NULL
"Track and Field","Men's Decathlon","2016-01-01",4866,26,NULL,NULL,NULL
"Track and Field","Men's Marathon","2016-01-01",4869,39,NULL,NULL,NULL
"Track and Field","Men's 50 kilometres Walk","2016-01-01",4871,39,NULL,NULL,NULL
"Track and Field","Men's 20 kilometres Walk","2016-01-01",4874,39,NULL,NULL,NULL
"Track and Field","Women's Shot Put","2016-01-01",4903,26,NULL,NULL,NULL
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",4937,42,NULL,NULL,NULL
"Track and Field","Men's 20 kilometres Walk","2016-01-01",4938,173,NULL,NULL,NULL
"Track and Field","Women's 20 kilometres Walk","2016-01-01",4972,42,NULL,NULL,NULL
"Track and Field","Men's Pole Vault","2016-01-01",4991,102,NULL,NULL,NULL
"Track and Field","Men's 20 kilometres Walk","2016-01-01",5006,42,NULL,NULL,NULL
"Swimming","Swimming Women's 10 kilometres Open Water","2016-01-01",5009,57,NULL,NULL,NULL
