"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",105037,49,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",105303,66,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",105494,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres","2014-01-01",105494,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon","2014-01-01",105494,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's Sprint","2014-01-01",105719,151,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",105719,151,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon","2014-01-01",105719,151,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's Sprint","2014-01-01",105736,66,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's Sprint","2014-01-01",105774,195,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",105774,195,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",105904,94,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",106207,89,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",106207,89,NULL,NULL,NULL
"Biathlon","Biathlon Men's 10 kilometres Sprint","2014-01-01",106281,96,NULL,NULL,NULL
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit","2014-01-01",106281,96,NULL,NULL,NULL
"Biathlon","Biathlon Men's 20 kilometres","2014-01-01",106281,96,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's Sprint","2014-01-01",106497,179,NULL,NULL,NULL
"Biathlon","Biathlon Men's 10 kilometres Sprint","2014-01-01",106721,71,NULL,NULL,NULL
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit","2014-01-01",106721,71,NULL,NULL,NULL
"Biathlon","Biathlon Men's 15 kilometres Mass Start","2014-01-01",106721,71,NULL,NULL,NULL
"Biathlon","Biathlon Men's 20 kilometres","2014-01-01",106721,71,NULL,NULL,NULL
"Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay","2014-01-01",106721,71,NULL,"1",NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",106859,12,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",106861,12,NULL,"1",NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",107456,12,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's Sprint","2014-01-01",107865,12,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",107865,12,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay","2014-01-01",107865,12,NULL,NULL,NULL
"Biathlon","Biathlon Men's 10 kilometres Sprint","2014-01-01",108180,193,NULL,NULL,NULL
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit","2014-01-01",108180,193,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Downhill","2014-01-01",108378,136,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Super G","2014-01-01",108378,136,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",108378,136,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Combined","2014-01-01",108378,136,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's Sprint","2014-01-01",108484,62,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",108496,158,NULL,NULL,NULL
"Biathlon","Biathlon Men's 10 kilometres Sprint","2014-01-01",108529,193,NULL,NULL,NULL
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit","2014-01-01",108529,193,NULL,NULL,NULL
"Biathlon","Biathlon Men's 20 kilometres","2014-01-01",108529,193,NULL,NULL,NULL
